"Line Probe: Direction [-1,0,0] (m)","Line Probe: Turbulent Kinetic Energy (J/kg)","Line Probe 2: Direction [-1,0,0] (m)","Line Probe 2: Turbulent Kinetic Energy (J/kg)"
-0.16614,0.0016107144765555859,-0.19785999999999998,0.3025228977203369
-0.1664,0.0016107144765555859,-0.1976,0.14459331333637238
-0.16666,0.0016107144765555859,-0.19734,0.14459331333637238
-0.16691999999999999,0.0016107144765555859,-0.19708,0.039256077259778976
-0.16718,0.0016107144765555859,-0.19682,0.039256077259778976
-0.16744,0.0016107144765555859,-0.19655999999999998,0.006085692904889584
-0.1677,0.0017636502161622047,-0.1963,0.006085692904889584
-0.16796,0.0017636502161622047,-0.19604,0.0012175681767985225
-0.16822,0.0017636502161622047,-0.19577999999999998,0.0012175681767985225
-0.16848,0.0017636502161622047,-0.19552,0.0012175681767985225
-0.16874,0.0017636502161622047,-0.19526,7.800620514899492E-4
-0.16899999999999998,0.0017636502161622047,-0.195,7.800620514899492E-4
-0.16926,0.0017636502161622047,-0.19474,7.421863847412169E-4
-0.16952,0.0017636502161622047,-0.19448,7.421863847412169E-4
-0.16978,0.0017834326718002558,-0.19422,7.421863847412169E-4
-0.17004,0.0017834326718002558,-0.19396,7.37510621547699E-4
-0.1703,0.0017834326718002558,-0.19369999999999998,7.37510621547699E-4
-0.17056,0.0017834326718002558,-0.19344,7.37510621547699E-4
-0.17082,0.0017834326718002558,-0.19318,7.326293271034956E-4
-0.17108,0.0017834326718002558,-0.19291999999999998,7.326293271034956E-4
-0.17134,0.0017834326718002558,-0.19266,7.326293271034956E-4
-0.1716,0.0017276814905926585,-0.1924,7.263142615556717E-4
-0.17185999999999998,0.0017276814905926585,-0.19214,7.263142615556717E-4
-0.17212,0.0017276814905926585,-0.19188,7.263142615556717E-4
-0.17238,0.0017276814905926585,-0.19161999999999998,7.193692727014422E-4
-0.17264,0.0017276814905926585,-0.19136,7.193692727014422E-4
-0.1729,0.0017276814905926585,-0.1911,7.193692727014422E-4
-0.17316,0.0017276814905926585,-0.19083999999999998,7.121430826373398E-4
-0.17342,0.0016415768768638372,-0.19058,7.121430826373398E-4
-0.17368,0.0016415768768638372,-0.19032,7.121430826373398E-4
-0.17393999999999998,0.0016415768768638372,-0.19006,7.121430826373398E-4
-0.1742,0.0016415768768638372,-0.1898,7.047100807540119E-4
-0.17446,0.0016415768768638372,-0.18954,7.047100807540119E-4
-0.17472,0.0016415768768638372,-0.18928,7.047100807540119E-4
-0.17498,0.0016415768768638372,-0.18902,6.970740505494177E-4
-0.17524,0.0015478787245228887,-0.18875999999999998,6.970740505494177E-4
-0.1755,0.0015478787245228887,-0.1885,6.970740505494177E-4
-0.17576,0.0015478787245228887,-0.18824,6.970740505494177E-4
-0.17602,0.0015478787245228887,-0.18797999999999998,6.892275996506214E-4
-0.17628,0.0015478787245228887,-0.18772,6.892275996506214E-4
-0.17654,0.0015478787245228887,-0.18746,6.892275996506214E-4
-0.1768,0.0014714999124407768,-0.18719999999999998,6.892275996506214E-4
-0.17706,0.0014714999124407768,-0.18694,6.811624625697732E-4
-0.17732,0.0014714999124407768,-0.18667999999999998,6.811624625697732E-4
-0.17758,0.0014714999124407768,-0.18642,6.811624625697732E-4
-0.17784,0.0014714999124407768,-0.18616,6.811624625697732E-4
-0.17809999999999998,0.0014714999124407768,-0.1859,6.728734006173909E-4
-0.17836,0.0014191764639690518,-0.18564,6.728734006173909E-4
-0.17862,0.0014191764639690518,-0.18538,6.728734006173909E-4
-0.17887999999999998,0.0014191764639690518,-0.18512,6.728734006173909E-4
-0.17914,0.0014191764639690518,-0.18486,6.728734006173909E-4
-0.1794,0.0014191764639690518,-0.1846,6.643543601967394E-4
-0.17966,0.001387938391417265,-0.18434,6.643543601967394E-4
-0.17992,0.001387938391417265,-0.18408,6.643543601967394E-4
-0.18018,0.001387938391417265,-0.18381999999999998,6.643543601967394E-4
